songid,bout_id,time,source,date,CNN_prediction,pulse_type,IPI,center_Freq,peak_Freq,E_peak_Freq,6dB_left_Freq,6dB_right_Freq,E_background,SNR,bandwidth,pulse_type_GMM_proba,totype
5902,397,5.807999999999993,BOMBYX,2017-09-07 06:22:48.568000000,0.97732955,A,33.184000000000005,21.287012940548628,21.30772910508813,0.007046437857472707,19.009661310343272,23.564364570753987,0.0008507386902458751,9.181734419608864,4.554703260410715,0.9999999474659271,AA
5902,397,38.99200000000002,BOMBYX,2017-09-07 06:23:21.752000000,0.8526417,A,33.888000000000005,21.610215744738795,20.7646990219092,0.004293611988388171,18.617997524574704,24.602433964902882,0.0007412559280227978,7.62854615338078,5.984436440328178,0.9999999998757083,AA
5902,397,72.88,BOMBYX,2017-09-07 06:23:55.640000000,0.94698274,A,34.336000000000006,21.06225561603241,20.90610352452163,0.006706162459748903,18.847539479914452,23.27697175215037,0.0007863104833396315,9.30880004339954,4.429432272235918,0.9999977105564295,AA
5902,397,107.21600000000001,BOMBYX,2017-09-07 06:24:29.976000000,0.8742685,A,16.064,21.064368246115087,21.253867601930207,0.006497963580582242,18.96750798248077,23.161228509749407,0.0006757736564516627,9.829760151521583,4.193720527268635,0.9999977867274102,AA
5902,397,123.27999999999997,BOMBYX,2017-09-07 06:24:46.040000000,0.99089336,A,,20.96699418653992,21.072710444728735,0.007480769373410715,18.824720443839272,23.109267929240573,0.000891847205748882,9.23655810008491,4.284547485401301,0.99998980763811,
5903,397,5.808,BOMBYX,2017-09-07 06:40:31.768000000,0.74634653,A,15.936000000000002,21.00006574262445,21.211186988534795,0.005850759405142727,18.58408465660367,23.416046828645225,0.000875099439414407,8.251548337915109,4.831962172041553,0.9999938871631844,AA
5903,397,21.744,BOMBYX,2017-09-07 06:40:47.704000000,0.7709432,A,31.55198,21.393896107943288,21.394096469908636,0.007093070982395077,19.368057601110685,23.41973461477589,0.0009363751786912683,8.793844130228948,4.051677013665206,0.9999999922891767,AA
5903,397,53.29598000000001,BOMBYX,2017-09-07 06:41:19.255980000,0.89593565,A,,21.231001158805007,21.19927343228391,0.00684534241908343,18.941336847020747,23.520665470589265,0.0008057934050451712,9.29171468761795,4.579328623568518,0.9999998609061171,
5904,397,5.872000000000014,BOMBYX,2017-09-07 06:42:09.432000000,0.7334752,A,33.504000000000005,21.20627033087085,21.19973858605883,0.00596683848768358,19.00117572086932,23.41136494087238,0.0010588203656217402,7.509219963387278,4.410189220003062,0.999999787682103,AA
5904,397,39.376000000000005,BOMBYX,2017-09-07 06:42:42.936000000,0.7655896,A,15.712000000000002,21.0996860969858,21.595119415691254,0.007278201034921542,18.6821359944834,23.517236199488195,0.0010531696622635691,8.395257070131022,4.835100205004796,0.9999987486892495,AA
5904,397,55.087999999999994,BOMBYX,2017-09-07 06:42:58.648000000,0.9432892,A,31.424000000000003,21.351263825244672,21.658899450146784,0.007475860074471173,19.120013915876847,23.582513734612494,0.0008016158645920289,9.696948604727183,4.4624998187356475,0.9999999832640927,AA
5904,397,86.512,BOMBYX,2017-09-07 06:43:30.072000000,0.9028228,A,,21.14867718969642,20.963706606566674,0.006180793436918366,18.8591842218261,23.43817015756674,0.0008876367509654821,8.428089545492831,4.57898593574064,0.9999994408298893,
5905,398,5.744000000000028,BOMBYX,2017-09-09 21:23:44.824000000,0.82206726,A,35.136,21.413042531413037,21.31767882024616,0.007650484132232026,19.804438049885587,23.021647012940488,0.0010060673482011396,8.810618644709582,3.217208963054901,0.9999999945779916,AA
5905,398,40.879999999999995,BOMBYX,2017-09-09 21:24:19.960000000,0.976655,A,15.456000000000001,21.222075276478044,21.030745824559986,0.009326258827542797,19.291092287119607,23.153058265836485,0.0008716860623003214,10.293473621170497,3.861965978716878,0.9999998378878499,AA
5905,398,56.33600000000001,BOMBYX,2017-09-09 21:24:35.416000000,0.7674131,A,,21.021174479341063,21.189623196013535,0.006092783386906107,18.8731462502759,23.16920270840622,0.0008214967930172211,8.702098658231224,4.2960564581303196,0.9999956067098402,
5906,399,5.840000000000003,BOMBYX,2017-09-10 11:01:42.200000000,0.8726012,A,16.16,20.473887983400413,21.34696258152296,0.007254006296272533,17.90879491030026,23.038981056500567,0.0007717015683932687,9.7312854529628,5.130186146200309,0.9916518875021005,AA
5906,399,22.0,BOMBYX,2017-09-10 11:01:58.360000000,0.7096914,A,34.688,21.028874756465655,21.33253649957094,0.005895391372891468,18.98032551211107,23.07742400082024,0.0006604055884355696,9.50701901906578,4.097098488709172,0.9999961084470382,AA
5906,399,56.688,BOMBYX,2017-09-10 11:02:33.048000000,0.7186023,A,,21.566097694547558,21.38168376617111,0.006273061759067991,18.99233216035291,24.139863228742204,0.0007821856151575372,9.04169738476477,5.147531068389295,0.9999999997038047,
5907,400,5.903980000000004,BOMBYX,2017-09-11 04:01:55.383980000,0.68652123,A,15.29602,20.77920096094539,20.85797828006581,0.007017793032461928,18.904220510567857,22.654181411322917,0.0009240579512226892,8.805013475815954,3.7499609007550596,0.9998392768744105,AA
5907,400,21.200000000000017,BOMBYX,2017-09-11 04:02:10.680000000,0.73693156,A,34.816,21.03722554954645,21.251531780610996,0.006232422925877298,18.671225317579378,23.403225781513516,0.0009624032229895647,8.112998477042163,4.732000463934138,0.9999965896155364,AA
5907,400,56.01600000000002,BOMBYX,2017-09-11 04:02:45.496000000,0.9547463,A,,21.34909853115208,20.949549435319696,0.005773142384265166,18.76546892946151,23.932728132842655,0.0010238966543968065,7.511561447953548,5.167259203381146,0.9999999825981507,
5908,400,5.903999999999996,BOMBYX,2017-09-11 04:03:35.224000000,0.89724576,A,34.688,20.965694561218346,21.00377209213147,0.0056126774153158155,18.627683369595687,23.303705752841005,0.0007967000392019302,8.47875243632066,4.676022383245318,0.9999896024187658,AA
5908,400,40.59200000000001,BOMBYX,2017-09-11 04:04:09.912000000,0.71903527,A,33.216,20.80079390263454,20.64627980723739,0.005413662333530126,18.575730001956757,23.025857803312324,0.000789968211743237,8.358815483534416,4.450127801355567,0.9998814757287802,AA
5908,400,73.80799999999999,BOMBYX,2017-09-11 04:04:43.128000000,0.9193796,A,,21.018637163249046,21.107871822173784,0.0059132128590077115,18.270036351673667,23.76723797482443,0.0007021232668761057,9.254101477873247,5.497201623150762,0.9999954280155788,
5910,400,5.903999999999996,BOMBYX,2017-09-11 04:43:05.304000000,0.93364626,A,15.456000000000001,21.03216230832615,21.34780447415773,0.007079982959883631,18.712722188308895,23.351602428343405,0.0012321286166175316,7.593761680987463,4.63888024003451,0.9999963052714158,AA
5910,400,21.359999999999985,BOMBYX,2017-09-11 04:43:20.760000000,0.9744012,A,17.504,21.149946490834722,20.920210339529525,0.009769686605933513,18.783092112798204,23.51680086887124,0.0010592605115376887,9.648778501505081,4.733708756073035,0.9999994525005254,AB
5910,400,38.864000000000004,BOMBYX,2017-09-11 04:43:38.264000000,0.8826817,B,15.648000000000001,19.704353175764822,19.65987267671364,0.007757728752448095,17.966062141267518,21.442644210262124,0.0010559901243528133,8.660747338197542,3.476582068994606,0.9097108952382679,BA
5910,400,54.512,BOMBYX,2017-09-11 04:43:53.912000000,0.9798666,A,34.144000000000005,21.26005416656758,21.701746316474043,0.010552179277812823,18.861381248690044,23.65872708444512,0.0011133114226937971,9.767254961124623,4.797345835755074,0.9999999158299664,AA
5910,400,88.65599999999998,BOMBYX,2017-09-11 04:44:28.056000000,0.9905331,A,18.112000000000002,21.248490605637222,20.860198224083742,0.007722490043008189,18.83269147147871,23.66428973979573,0.0009744305002059577,8.990064878606713,4.83159826831702,0.999999897129294,AB
5910,400,106.768,BOMBYX,2017-09-11 04:44:46.168000000,0.7436777,B,,19.867221595535966,19.970871485006935,0.008889004331336168,17.851813947031317,21.88262924404062,0.0012201514509383722,8.624393771231384,4.030815297009301,0.7604683664860089,
5911,400,5.807999999999993,BOMBYX,2017-09-11 05:02:32.568000000,0.77303153,B,31.424000000000003,19.260309520044327,19.20694884929814,0.007018102548227016,17.739019831674383,20.78159920841427,0.0006968964336913969,10.030514677586577,3.042579376739887,0.9891992876784893,BA
5911,400,37.232,BOMBYX,2017-09-11 05:03:03.992000000,0.70973563,A,17.856,20.524745656564864,21.013345547950355,0.0057624822193896655,17.90554586486891,23.14394544826082,0.0006088860539475514,9.760735713510565,5.23839958339191,0.9954654769675935,AB
5911,400,55.087999999999994,BOMBYX,2017-09-11 05:03:21.848000000,0.7166308,B,15.456000000000001,19.23589720122505,19.252525012812754,0.007118779698424424,17.59923384454694,20.872560557903157,0.0006785258326814086,10.208391665635357,3.273326713356216,0.9900351665634158,BA
5911,400,70.54400000000001,BOMBYX,2017-09-11 05:03:37.304000000,0.96641326,A,18.496000000000002,21.03799430807372,20.75694514453379,0.006658609434489805,18.56797390552159,23.508014710625854,0.000612988479998745,10.3593122896355,4.940040805104264,0.9999966308839764,AB
5911,400,89.04000000000002,BOMBYX,2017-09-11 05:03:55.800000000,0.8590508,B,26.848000000000003,19.590749190507093,19.563585160809133,0.007691376912728819,17.781035319809575,21.40046306120461,0.0007005500588780761,10.405649203886522,3.619427741395036,0.9528412748717527,BB
5911,400,115.88800000000003,BOMBYX,2017-09-11 05:04:22.648000000,0.769404,B,27.680000000000003,19.262809127322157,19.316913899063056,0.006268957424306097,17.629183402891112,20.896434851753202,0.0006761850325167772,9.671297669873033,3.2672514488620905,0.9891073503510057,BB
5911,400,143.56799999999998,BOMBYX,2017-09-11 05:04:50.328000000,0.743551,B,,19.367328434360672,19.493975270715357,0.007686519668537691,17.573976581044324,21.16068028767702,0.0006575005171403094,10.678336440618866,3.586703706632697,0.9838782070440997,
5913,402,5.936000000000007,BOMBYX,2017-09-14 12:43:27.576000000,0.8853429,A,15.776000000000002,20.733737678048076,20.428100862178354,0.00754580088418687,18.971427199890265,22.496048156205887,0.0008178897913485197,9.65010553520294,3.5246209563156228,0.9996980582033338,AA
5913,402,21.712000000000018,BOMBYX,2017-09-14 12:43:43.352000000,0.9743832,A,35.04,20.913271306746715,20.662374049973913,0.0075335852569252265,19.06962241560985,22.756920197883577,0.0006841010675519487,10.418814393575335,3.6872977822737276,0.9999769921236366,AA
5913,402,56.75200000000001,BOMBYX,2017-09-14 12:44:18.392000000,0.97696555,A,,20.729288248059255,20.415830278099154,0.0065859670729948895,18.81013966594893,22.648436830169583,0.0008755691841401912,8.763290870253424,3.838297164220652,0.9996790887845406,
5915,403,5.807980000000015,BOMBYX,2017-09-14 23:21:05.047980000,0.92766947,A,34.592020000000005,21.23145537327155,21.058598696609128,0.005669049185194089,18.844588832665753,23.618321913877345,0.0008812698171142767,8.084013288971088,4.773733081211592,0.9999998619878967,AA
5915,403,40.400000000000006,BOMBYX,2017-09-14 23:21:39.640000000,0.9449027,A,16.096,20.781092932698634,20.32550095499083,0.007006017276351346,18.335866672050276,23.22631919334699,0.000893162844039417,8.945405559860667,4.890452521296712,0.999843488749511,AA
5915,403,56.495999999999995,BOMBYX,2017-09-14 23:21:55.736000000,0.97715545,A,34.816,21.11958532759278,21.94024640686307,0.00554070137351036,18.303682655427593,23.93548799975797,0.000800415571944988,8.402492145056728,5.6318053443303775,0.9999990960323488,AA
5915,403,91.31200000000003,BOMBYX,2017-09-14 23:22:30.552000000,0.85885626,A,15.58398,20.807084050563084,20.085747176116065,0.0057851911492251915,18.529916151879977,23.08425194924619,0.00085257218693193,8.315865523489798,4.554335797366214,0.9998916050767318,AA
5915,403,106.89598000000002,BOMBYX,2017-09-14 23:22:46.135980000,0.9796607,A,,20.928658454973757,20.505003991280223,0.0074593052311642555,18.60761329430237,23.24970361564514,0.0008602836568760164,9.380567061081889,4.642090321342767,0.9999817402691665,
5917,404,5.872,BOMBYX,2017-09-16 02:40:36.312000000,0.95178485,A,17.6,20.75964244323982,20.647897150432552,0.011414889690340576,18.939723207541427,22.579561678938216,0.0008022904137284536,11.531401159612582,3.6398384713967893,0.9997888160761684,AB
5917,404,23.472,BOMBYX,2017-09-16 02:40:53.912000000,0.7655209,B,15.712000000000002,19.765400562896897,19.828515909824155,0.008446600072522103,18.302774240723814,21.22802688506998,0.0007236358795984334,10.671618397232264,2.925252644346166,0.8697728417072615,BA
5917,404,39.184,BOMBYX,2017-09-16 02:41:09.624000000,0.9910341,A,,20.858812013115454,20.780805490412487,0.011081780023786477,18.855916289542296,22.86170773668861,0.0007530391090551601,11.677919931986358,4.005791447146315,0.9999485505942045,
5918,404,5.936000000000007,BOMBYX,2017-09-16 02:42:22.616000000,0.85899776,B,15.968000000000002,19.83555554012981,19.85990591011562,0.0074243180153746695,18.329477002725746,21.341634077533875,0.0008315585860263095,9.507637142017696,3.0121570748081297,0.8012776694075968,BA
5918,404,21.903999999999996,BOMBYX,2017-09-16 02:42:38.584000000,0.98737305,A,33.728,20.85144772903238,20.686930785298244,0.013257846562194425,18.992251337254384,22.71064412081038,0.0008247388591392451,12.061565308096892,3.718392783555995,0.9999427269121238,AA
5918,404,55.632000000000005,BOMBYX,2017-09-16 02:43:12.312000000,0.9840083,A,15.264000000000001,20.564430942012436,20.571105852263983,0.01330513041002383,18.647615428735886,22.48124645528899,0.0006680412514874538,12.99215854689779,3.8336310265531033,0.9972221039302899,AA
