calltype,start_time,end_time,pause,SNR
I11.4,1846,1847.11,5.39,22
I69,1852.5,1854.17,19.07,26
I11.4,1873.24,1874.21,72.48,28
I11.4,1946.69,1947.79,254.77,19
I11.4,89.56,90.59,2.07,22
I38.1,92.66,93.33,0.47,NA
I11.4,93.8,95.1,3.51,21
I11.4,98.61,99.42,7.26,10
I38.1,106.68,107.33,0.73,21
I11.4,108.06,109.15,0.42,19
I69,109.57,110.75,11.37,11
I11.4,122.12,123.31,3.85,15
I38.1,127.16,127.88,0.23,23
I11.4,128.11,129.37,0.54,33
I69,129.91,131.18,65.7,19
I38.1,196.88,197.44,0.37,23
I39,197.81,198.69,22.21,26
I11.4,220.9,222.09,31.3,18
I11.5,253.39,254.93,103.84,27
I11.5,358.77,360.26,3.41,20
I38.1,363.67,364.42,0.17,24
I11.5,364.59,366.18,-0.29,15
I11.4,365.89,366.91,44.28,18
I38.1,411.19,411.67,0.28,17
I39,411.95,412.58,0.36,13
I69,412.94,414.5,14.16,23
I38.1,428.66,429.08,0.51,24
I11.4,429.59,430.55,2.45,21
I38.1,433,433.67,0.33,21
I11.4,434,435.21,0.23,33
I69,435.44,437.33,-0.33,25
I11.4,437,438,30.55,22
I11.4,468.55,469.55,22.09,14
I38.1,491.64,492.26,0.35,13
I11.4,492.61,493.8,0.59,18
I69,494.39,495.59,6.41,15
I38.1,502,502.57,17.52,25
I38.1,520.09,520.57,0.65,14
I11.4,521.22,522.23,4.77,22
I11.4,527,528.12,0.23,34
I69,528.35,530.42,3.24,28
I39,533.66,534.23,0.35,16
I69,534.58,536.67,4.96,19
I38.1,541.63,542.4,-0.34,19
I37.1,542.06,543.18,-0.5,24
I11.4,542.68,543.9,0.25,25
I69,544.15,546,5.72,28
I11.4,551.72,552.82,17.68,16
I38.1,570.5,571.09,0.29,17
I11.4,571.38,572.45,0.47,25
I69,572.92,574.84,6.82,19
I38.1,581.66,582.15,0.35,12
I11.4,582.5,583.67,3.16,30
I69,586.83,588.82,0.95,22
I38.1,589.77,590.41,0.35,16
I11.4,590.76,591.89,5.33,25
I38.1,597.22,598.06,0.37,18
I11.4,598.43,599.75,0.34,32
I69,600.09,602.82,10.08,19
I38.1,612.9,613.86,0.26,29
I11.4,614.12,615.34,0.46,37
I69,615.8,618.05,3.33,30
I38.1,621.38,622.73,0.17,26
