GhSelection	View	Channel	Begin File	Begin Clock Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Category	Comment
166	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2362.815	2362.815053456	2371.037484632	167.7	1926.3	8.222	1758.7	Gd12	
167	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2371.750	2371.750412191	2379.117330297	124.8	1930.2	7.367	1805.5	Gd12	
168	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2380.638	2380.638242422	2388.480445567	81.9	1918.5	7.842	1836.7	Gd12	
169	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2388.908	2388.908202102	2400.172457528	74.1	1906.8	11.264	1832.8	Gd13	
170	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2402.583	2402.583055250	2409.759859340	66.3	1953.6	7.177	1887.4	Gd12	
171	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2410.378	2410.377729891	2416.176207368	81.9	1836.7	5.798	1754.8	Gd12	
172	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2416.604	2416.603963903	2423.638182482	124.8	1805.5	7.034	1680.7	Gd12	
173	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2426.548	2426.548016220	2434.009991333	117.0	1961.4	7.462	1844.5	Gd12	
174	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2434.485	2434.485276372	2440.949152904	109.2	1953.6	6.464	1844.5	Gd12	
175	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2441.519	2441.519494951	2449.266641088	66.3	1902.9	7.747	1836.7	Gd12	
176	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2451.033	2451.033477476	2458.257810070	105.3	1984.8	7.224	1879.6	Gd12	
177	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2458.543	2458.542981093	2467.858567859	74.1	1895.2	9.316	1821.1	Gd13	
178	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2470.030	2470.029508635	2481.103650045	58.5	1926.3	11.074	1867.9	Gd13	
179	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2481.674	2481.673992092	2488.613153663	105.3	1813.3	6.939	1708.0	Gd12	
180	Spectrogram 1	1	Paternoster Song example 5 01-11-2018.wav	2490.132	2490.131528671	2502.156240160	89.7	1957.5	12.025	1867.9	Ge111	
