Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Delta Time (s)	UNIT
201	Spectrogram 1	1	702.538211044	703.744968804	0.0	4751.8	4751.8	796.9	1.207	K
202	Spectrogram 1	1	707.123890533	708.423118330	0.0	4751.8	4751.8	1851.6	1.299	O
203	Spectrogram 1	1	709.537406053	711.528556357	0.0	4072.9	4072.9	445.3	1.991	5
204	Spectrogram 1	1	711.950921573	712.735314117	0.0	3869.3	3869.3	960.9	0.784	K
205	Spectrogram 1	1	715.993560070	717.562345158	0.0	4955.4	4955.4	1828.1	1.569	O
206	Spectrogram 1	1	718.467413478	720.639577446	0.0	4072.9	4072.9	1054.7	2.172	5
207	Spectrogram 1	1	720.941266886	721.846335206	67.9	4072.9	4005.0	914.1	0.905	K
208	Spectrogram 1	1	724.437573748	725.332825388	0.0	5023.3	5023.3	421.9	0.895	O
209	Spectrogram 1	1	726.069987367	726.975055687	0.0	4344.5	4344.5	1429.7	0.905	O
210	Spectrogram 1	1	727.337083015	729.569584871	0.0	3937.2	3937.2	445.3	2.233	R
211	Spectrogram 1	1	729.810936423	731.078032071	0.0	3869.3	3869.3	984.4	1.267	K
212	Spectrogram 1	1	732.948506599	734.259763169	67.0	4412.3	4345.3	1382.8	1.311	O
213	Spectrogram 1	1	734.954727563	735.594193021	67.0	4344.5	4277.5	1664.1	0.639	21
214	Spectrogram 1	1	736.086076776	738.258240744	0.0	3326.2	3326.2	421.9	2.172	R
215	Spectrogram 1	1	738.439254408	740.068377384	0.0	4072.9	4072.9	867.2	1.629	K
216	Spectrogram 1	1	742.119865576	743.688650665	0.0	4412.3	4412.3	445.3	1.569	O
217	Spectrogram 1	1	744.111015881	744.714394761	67.0	4412.3	4345.3	2132.8	0.603	21
218	Spectrogram 1	1	745.016084201	747.369261833	0.0	3529.9	3529.9	445.3	2.353	R
219	Spectrogram 1	1	747.429599721	748.877709033	0.0	5023.3	5023.3	867.2	1.448	K
220	Spectrogram 1	1	751.532576105	752.618658089	0.0	3869.3	3869.3	468.8	1.086	O
221	Spectrogram 1	1	753.101361194	753.885753738	0.0	4140.8	4140.8	421.9	0.784	O
222	Spectrogram 1	1	754.247781066	756.721634474	0.0	3665.6	3665.6	1734.4	2.474	R
223	Spectrogram 1	1	756.781972362	758.109405898	203.6	4751.8	4548.2	937.5	1.327	K
224	Spectrogram 1	1	760.703935082	761.790017066	0.0	4412.3	4412.3	445.3	1.086	O
225	Spectrogram 1	1	762.212382282	763.298464267	0.0	4140.8	4140.8	960.9	1.086	O
226	Spectrogram 1	1	763.600153707	765.772317675	0.0	3326.2	3326.2	445.3	2.172	R
227	Spectrogram 1	1	765.892993451	767.160089099	0.0	4140.8	4140.8	960.9	1.267	K
