Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
168	Spectrogram 1	1	253.762830732	254.162682773	296.8	2828.4	0.400	2531.6	1687.5	X
169	Spectrogram 1	1	254.362608794	254.772983259	139.7	2479.2	0.410	2339.6	1078.1	X
170	Spectrogram 1	1	254.951864435	255.383283744	279.4	2444.3	0.431	2165.0	1406.2	X
171	Spectrogram 1	1	255.562164920	256.056718762	279.4	2479.2	0.495	2199.9	1453.1	X
172	Spectrogram 1	1	256.235599938	256.667019247	279.4	2479.2	0.431	2199.9	937.5	X
173	Spectrogram 1	1	256.836154286	257.163535233	244.4	2444.3	0.327	2199.9	375.0	X
174	Spectrogram 1	1	257.330275951	259.455805227	558.7	2479.2	2.126	1920.5	2109.4	Z
175	Spectrogram 1	1	260.066105712	260.634316508	104.8	1466.6	0.568	1361.8	328.1	17
176	Spectrogram 1	1	263.268064241	264.972696630	488.9	2653.8	1.705	2165.0	2203.1	Z
177	Spectrogram 1	1	265.239073909	265.678061996	593.6	3491.9	0.439	2898.3	609.4	X
178	Spectrogram 1	1	265.834311994	266.169133416	698.4	3457.0	0.335	2758.6	1171.9	X
179	Spectrogram 1	1	266.526276267	267.017347687	907.9	3457.0	0.491	2549.1	1171.9	X
180	Spectrogram 1	1	267.158716733	267.627466724	768.2	3491.9	0.469	2723.7	1078.1	X
181	Spectrogram 1	1	267.746514341	268.163181001	768.2	3491.9	0.417	2723.7	1171.9	X
182	Spectrogram 1	1	268.378954807	268.825383370	768.2	3491.9	0.446	2723.7	1125.0	X
183	Spectrogram 1	1	269.026276224	269.502466692	838.1	3491.9	0.476	2653.8	1171.9	X
184	Spectrogram 1	1	269.614073833	270.000978588	838.1	3457.0	0.387	2618.9	1125.0	X
185	Spectrogram 1	1	270.265501111	270.823536816	733.3	3491.9	0.558	2758.6	1171.9	X
186	Spectrogram 1	1	271.002108241	271.389012996	558.7	3526.8	0.387	2968.1	1218.8	X
187	Spectrogram 1	1	271.552703470	271.954489177	523.8	3457.0	0.402	2933.2	1265.6	X
188	Spectrogram 1	1	272.177703459	272.564608214	593.6	3457.0	0.387	2863.3	1218.8	X
189	Spectrogram 1	1	273.472346294	273.851810573	314.3	3212.5	0.379	2898.3	796.9	X
190	Spectrogram 1	1	275.874845450	278.042464414	523.8	2444.3	2.168	1920.5	703.1	Z
191	Spectrogram 1	1	279.683962270	280.167993689	69.8	1431.7	0.484	1361.8	375.0	17
192	Spectrogram 1	1	282.269685200	282.760756620	768.2	3491.9	0.491	2723.7	1031.2	X
193	Spectrogram 1	1	282.842601857	283.393197085	453.9	3422.0	0.551	2968.1	1031.2	X
194	Spectrogram 1	1	283.497363750	284.047958979	419.0	3491.9	0.551	3072.9	421.9	X
195	Spectrogram 1	1	284.189328024	284.598554207	523.8	3457.0	0.409	2933.2	1171.9	X
196	Spectrogram 1	1	284.858970869	285.387244670	803.1	3491.9	0.528	2688.8	890.6	X
197	Spectrogram 1	1	285.580697047	286.094089895	768.2	3526.8	0.513	2758.6	1125.0	X
