Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
207	Spectrogram 1	1	299.002099587	299.307249830	209.3	1976.7	0.305	1767.4	1312.5	X
208	Spectrogram 1	1	299.601877650	299.938595159	162.8	2000.0	0.337	1837.2	1171.9	X
209	Spectrogram 1	1	302.826938881	305.263931754	384.9	1969.8	2.437	1584.9	796.9	Z
210	Spectrogram 1	1	306.690772141	307.233729102	113.2	1584.9	0.543	1471.7	515.6	17
211	Spectrogram 1	1	309.771737223	310.264186560	249.1	1652.8	0.492	1403.7	609.4	17
212	Spectrogram 1	1	312.436014405	315.049783963	339.6	2037.7	2.614	1698.1	796.9	Z
213	Spectrogram 1	1	315.816806826	316.397644506	203.8	1584.9	0.581	1381.1	609.4	17
214	Spectrogram 1	1	317.761350362	318.215918981	249.1	1630.2	0.455	1381.1	609.4	20
215	Spectrogram 1	1	319.364967433	319.781655334	249.1	1562.3	0.417	1313.2	609.4	20
216	Spectrogram 1	1	320.602404229	322.370171080	249.1	1969.8	1.768	1720.7	843.8	Z
217	Spectrogram 1	1	322.785268132	323.391359623	181.1	1539.6	0.606	1358.5	609.4	17
218	Spectrogram 1	1	324.469013114	324.910954826	226.4	1517.0	0.442	1290.6	937.5	20
219	Spectrogram 1	1	325.479165600	325.996868749	226.4	1652.8	0.518	1426.4	890.6	20
220	Spectrogram 1	1	329.173160461	329.883222061	235.1	2272.9	0.710	2037.8	562.5	17
221	Spectrogram 1	1	332.755677965	334.561325534	566.0	1969.8	1.806	1403.8	843.8	Z
222	Spectrogram 1	1	334.917894276	335.561866486	181.1	1426.4	0.644	1245.3	468.8	17
223	Spectrogram 1	1	337.051841403	337.582171458	113.2	1494.3	0.530	1381.1	609.4	17
224	Spectrogram 1	1	339.525087434	341.040316164	543.4	2037.7	1.515	1494.3	937.5	Z
225	Spectrogram 1	1	341.305481191	341.987334119	113.2	1517.0	0.682	1403.8	562.5	17
226	Spectrogram 1	1	344.009063615	344.552020577	181.1	1584.9	0.543	1403.8	421.9	17
227	Spectrogram 1	1	344.762248457	347.297962596	317.0	2150.9	2.536	1833.9	703.1	Z
228	Spectrogram 1	1	347.762248283	348.547962523	90.6	1358.5	0.786	1267.9	609.4	17
229	Spectrogram 1	1	351.887248044	352.655105143	203.8	1381.1	0.768	1177.3	562.5	17
230	Spectrogram 1	1	355.391405691	357.694976987	317.0	1969.8	2.304	1652.8	328.1	Z
231	Spectrogram 1	1	358.355691234	359.177119758	113.2	1358.5	0.821	1245.3	609.4	17
232	Spectrogram 1	1	360.819976806	361.462833911	158.5	1381.1	0.643	1222.6	609.4	17
233	Spectrogram 1	1	363.034262392	364.427119454	339.6	1969.8	1.393	1630.2	796.9	Z
234	Spectrogram 1	1	364.784262291	365.498547964	158.5	1471.7	0.714	1313.2	421.9	17
235	Spectrogram 1	1	366.396097182	366.503425884	158.5	1290.6	0.107	1132.1	234.4	19
