Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	UNIT
212	Spectrogram 1	1	419.045568313	419.550644577	113.9	1423.7	0.505	1309.8	17
213	Spectrogram 1	1	421.371023610	421.486770254	142.4	1480.7	0.116	1338.3	19
214	Spectrogram 1	1	421.507815098	422.097070739	113.9	1509.1	0.589	1395.2	17
215	Spectrogram 1	1	423.717250076	425.558673954	512.5	2477.2	1.841	1964.7	Z
216	Spectrogram 1	1	426.674322683	426.832159015	113.9	1566.1	0.158	1452.2	19
217	Spectrogram 1	1	426.884771126	427.389847389	85.4	1509.1	0.505	1423.7	17
218	Spectrogram 1	1	430.283513482	430.420304970	113.9	1537.6	0.137	1423.7	19
219	Spectrogram 1	1	430.472917081	431.072695144	113.9	1509.1	0.600	1395.2	17
220	Spectrogram 1	1	432.987502819	434.534298876	512.5	2477.2	1.547	1964.7	Z
221	Spectrogram 1	1	435.730020343	435.919423942	113.9	1509.1	0.189	1395.2	19
222	Spectrogram 1	1	435.940468786	436.508679583	113.9	1452.2	0.568	1338.3	17
223	Spectrogram 1	1	438.476372526	438.634208858	56.9	1480.7	0.158	1423.8	19
224	Spectrogram 1	1	438.655253703	439.307643876	113.9	1480.7	0.652	1366.8	17
225	Spectrogram 1	1	440.689914775	442.341935054	455.6	2505.7	1.652	2050.1	Z
226	Spectrogram 1	1	443.179895230	443.285119451	56.9	1452.2	0.105	1395.3	19
227	Spectrogram 1	1	443.306164296	443.937509625	113.9	1480.7	0.631	1366.8	17
228	Spectrogram 1	1	447.146846947	447.914983765	113.9	1509.1	0.768	1395.2	17
229	Spectrogram 1	1	450.160093452	451.685844665	427.1	2477.2	1.526	2050.1	Z
230	Spectrogram 1	1	452.756498400	453.356276463	142.4	1480.7	0.600	1338.3	17
231	Spectrogram 1	1	455.608074805	456.302554667	113.9	1480.7	0.694	1366.8	Y
232	Spectrogram 1	1	457.923201656	460.101343042	156.6	1509.1	2.178	1352.5	Z
233	Spectrogram 1	1	461.124393481	461.829395766	142.4	1480.7	0.705	1338.3	17
234	Spectrogram 1	1	464.786196391	465.785826496	113.9	1537.6	1.000	1423.7	17
235	Spectrogram 1	1	467.876551383	469.902117648	170.8	1537.6	2.026	1366.8	Z
236	Spectrogram 1	1	471.014451251	471.719453535	113.9	1452.2	0.705	1338.3	17
237	Spectrogram 1	1	474.171177898	475.118195892	113.9	1708.4	0.947	1594.5	17
238	Spectrogram 1	1	477.683446679	479.577482667	170.8	1509.1	1.894	1338.3	Z
239	Spectrogram 1	1	480.631943810	481.600006648	113.9	1509.1	0.968	1395.2	17
240	Spectrogram 1	1	484.156955232	485.019793849	142.4	1480.7	0.863	1338.3	17
241	Spectrogram 1	1	487.545672664	489.176648099	172.0	1462.0	1.631	1290.0	Z
242	Spectrogram 1	1	490.102621248	490.313069691	172.0	1462.0	0.210	1290.0	19
243	Spectrogram 1	1	490.376204224	491.133818620	114.7	1490.7	0.758	1376.0	17
244	Spectrogram 1	1	492.659569832	493.553975716	86.0	1519.3	0.894	1433.3	17
245	Spectrogram 1	1	495.395398789	497.426226265	114.7	1490.7	2.031	1376.0	Z
246	Spectrogram 1	1	498.236452771	499.151903499	57.3	1462.0	0.915	1404.7	Y
247	Spectrogram 1	1	501.655221719	502.528582758	86.0	1490.7	0.873	1404.7	17
248	Spectrogram 1	1	504.612022345	506.674417087	57.3	1462.0	2.062	1404.7	Z
249	Spectrogram 1	1	507.537252582	507.674044070	229.3	1490.7	0.137	1261.4	19
250	Spectrogram 1	1	507.800313136	508.652629331	114.7	1490.7	0.852	1376.0	17
251	Spectrogram 1	1	510.757113762	511.651519645	86.0	1462.0	0.894	1376.0	17
252	Spectrogram 1	1	513.314062346	515.502726155	114.7	1490.7	2.189	1376.0	Z
253	Spectrogram 1	1	516.414699732	517.267015927	57.3	1490.7	0.852	1433.4	17
254	Spectrogram 1	1	519.034782849	520.118592331	57.3	1462.0	1.084	1404.7	17
255	Spectrogram 1	1	522.117852541	524.043455796	86.0	1548.0	1.926	1462.0	Z
256	Spectrogram 1	1	524.769501091	524.990471957	114.7	1490.7	0.221	1376.0	19
257	Spectrogram 1	1	525.074651334	525.937489951	100.3	1447.7	0.863	1347.4	17
258	Spectrogram 1	1	526.800328568	527.000254589	86.0	1490.7	0.200	1404.7	19
259	Spectrogram 1	1	527.042344277	527.684212029	143.3	1462.0	0.642	1318.7	17
260	Spectrogram 1	1	529.199440819	531.061909541	114.7	1490.7	1.862	1376.0	Z
261	Spectrogram 1	1	531.998402709	532.819151637	114.7	1433.3	0.821	1318.6	17
262	Spectrogram 1	1	533.355795167	533.534676344	114.7	1462.0	0.179	1347.3	19
263	Spectrogram 1	1	533.608333299	534.229156206	57.3	1462.0	0.621	1404.7	17
264	Spectrogram 1	1	535.544458975	537.743645206	143.3	1490.7	2.199	1347.4	Z
265	Spectrogram 1	1	538.280285474	538.459166650	57.3	1490.7	0.179	1433.4	19
266	Spectrogram 1	1	538.543346028	539.195736201	86.0	1490.7	0.652	1404.7	17
267	Spectrogram 1	1	542.184104094	542.952240911	86.0	1490.7	0.768	1404.7	17
268	Spectrogram 1	1	544.772619944	546.750835310	172.0	1490.7	1.978	1318.7	Z
269	Spectrogram 1	1	547.392703061	547.592629082	86.0	1519.3	0.200	1433.3	19
270	Spectrogram 1	1	547.666286037	548.350243477	86.0	1490.7	0.684	1404.7	17
271	Spectrogram 1	1	549.307779687	549.528750552	143.3	1490.7	0.221	1347.4	19
272	Spectrogram 1	1	549.581362663	550.223230414	86.0	1462.0	0.642	1376.0	17
273	Spectrogram 1	1	552.218742356	553.523522704	114.7	1462.0	1.305	1347.3	Z
274	Spectrogram 1	1	554.049643812	554.186435300	86.0	1462.0	0.137	1376.0	19
275	Spectrogram 1	1	554.270614677	554.828303051	86.0	1433.3	0.558	1347.3	17
276	Spectrogram 1	1	555.670096824	556.217262776	86.0	1462.0	0.547	1376.0	17
277	Spectrogram 1	1	557.290546830	558.837342887	86.0	1490.7	1.547	1404.7	Z
278	Spectrogram 1	1	559.363463995	559.531822750	28.7	1462.0	0.168	1433.3	19
279	Spectrogram 1	1	559.594957282	560.078988702	86.0	1490.7	0.484	1404.7	17
280	Spectrogram 1	1	560.815558253	560.941827318	28.7	1490.7	0.126	1462.0	19
281	Spectrogram 1	1	561.026006696	561.425858738	57.3	1490.7	0.400	1433.4	17
282	Spectrogram 1	1	562.909520262	564.656242340	86.0	1548.0	1.747	1462.0	Z
283	Spectrogram 1	1	565.329677358	565.487513690	114.7	1490.7	0.158	1376.0	19
284	Spectrogram 1	1	565.540125801	566.108336597	86.0	1519.3	0.568	1433.3	17
285	Spectrogram 1	1	568.938865726	569.570211055	86.0	1490.7	0.631	1404.7	Y
286	Spectrogram 1	1	571.011780715	572.232381685	114.7	1462.0	1.221	1347.3	Z
287	Spectrogram 1	1	572.653278571	572.758502793	86.0	1490.7	0.105	1404.7	19
288	Spectrogram 1	1	572.821637326	573.316191167	86.0	1490.7	0.495	1404.7	17
289	Spectrogram 1	1	575.094480512	575.220749577	114.7	1490.7	0.126	1376.0	19
290	Spectrogram 1	1	575.273361688	575.820527640	57.3	1433.3	0.547	1376.0	17
291	Spectrogram 1	1	577.661951518	579.029866398	114.7	1490.7	1.368	1376.0	Z
292	Spectrogram 1	1	579.335204204	579.461473270	86.0	1462.0	0.126	1376.0	19
293	Spectrogram 1	1	579.503562959	580.176997977	143.3	1490.7	0.673	1347.4	17
294	Spectrogram 1	1	583.130561480	584.908850824	659.3	2522.7	1.778	1863.4	Z
295	Spectrogram 1	1	585.303247678	586.050339651	172.0	1490.7	0.747	1318.7	17
296	Spectrogram 1	1	588.981028199	591.032900519	458.7	2522.7	2.052	2064.0	Z
297	Spectrogram 1	1	591.416773490	591.932372175	258.0	1462.0	0.516	1204.0	17
298	Spectrogram 1	1	592.211409025	592.369245357	888.7	2551.3	0.158	1662.6	X
299	Spectrogram 1	1	592.779619821	593.105814908	774.0	2494.0	0.326	1720.0	X
300	Spectrogram 1	1	593.400442729	593.537234217	917.3	2494.0	0.137	1576.7	X
301	Spectrogram 1	1	593.625149698	593.993434474	372.7	1519.3	0.368	1146.6	X
302	Spectrogram 1	1	594.273803768	594.652610965	602.0	2494.0	0.379	1892.0	X
